SIL nonword
SIL_B begin
SIL_E end
SIL_I internal
SIL_S singleton
ai2_B begin
ai2_E end
ai2_I internal
ai2_S singleton
ao3_B begin
ao3_E end
ao3_I internal
ao3_S singleton
b_B begin
b_E end
b_I internal
b_S singleton
en1_B begin
en1_E end
en1_I internal
en1_S singleton
h_B begin
h_E end
h_I internal
h_S singleton
i4_B begin
i4_E end
i4_I internal
i4_S singleton
ian1_B begin
ian1_E end
ian1_I internal
ian1_S singleton
in1_B begin
in1_E end
in1_I internal
in1_S singleton
ing2_B begin
ing2_E end
ing2_I internal
ing2_S singleton
j_B begin
j_E end
j_I internal
j_S singleton
q_B begin
q_E end
q_I internal
q_S singleton
t_B begin
t_E end
t_I internal
t_S singleton
u2_B begin
u2_E end
u2_I internal
u2_S singleton
uan2_B begin
uan2_E end
uan2_I internal
uan2_S singleton
x_B begin
x_E end
x_I internal
x_S singleton
zh_B begin
zh_E end
zh_I internal
zh_S singleton
